time,close
12/31/00,745.7
3/31/01,751.27
6/30/01,748.23
9/30/01,738.81
12/31/01,736.88
3/31/02,718.01
6/30/02,710.31
9/30/02,697.75
12/31/02,674.59
3/31/03,678.6
6/30/03,684.42
9/30/03,697.9
12/31/03,710.81
3/31/04,726.93
6/30/04,739.42
9/30/04,756.88
12/31/04,788.17
3/31/05,806.94
6/30/05,828.1
9/30/05,851.94
12/31/05,874.32
3/31/06,898.02
6/30/06,917.93
9/30/06,936.83
12/31/06,952.51
3/31/07,965.19
6/30/07,986.11
9/30/07,1005.12
12/31/07,1025.08
3/31/08,1048.32
6/30/08,1071.22
9/30/08,1080.41
12/31/08,1042.46
3/31/09,998.54
6/30/09,943.25
9/30/09,902.59
12/31/09,908.4
3/31/10,918.98
6/30/10,932.49
9/30/10,945.99
12/31/10,962.71
3/31/11,981.21
6/30/11,1007.77
9/30/11,1032.93
12/31/11,1052.83
3/31/12,1069.27
6/30/12,1073.99
9/30/12,1076.99
12/31/12,1092.37
3/31/13,1095.81
6/30/13,1104.96
9/30/13,1115.38
12/31/13,1116.81
3/31/14,1126
6/30/14,1141.19
9/30/14,1154.86
12/31/14,1163.32
3/31/15,1156.54
6/30/15,1145.54
9/30/15,1136.16
12/31/15,1127.13
3/31/16,1127.97
6/30/16,1131.21
9/30/16,1138.43
12/31/16,1150.68
3/31/17,1169.42
6/30/17,1185.81
9/30/17,1203.1
12/31/17,1231.57
3/31/18,1259.18
6/30/18,1292.84
9/30/18,1325.89
12/31/18,1343.01
3/31/19,1361.47
6/30/19,1378.74
9/30/19,1392.48
12/31/19,1415.01
3/31/20,1408.74
6/30/20,1372.44
9/30/20,1364.13
12/31/20,1362.39
3/31/21,1393.85
6/30/21,1462.75
9/30/21,1511.1
12/31/21,1566.8
3/31/22,1616.48
6/30/22,1663.36